NB,Kí_hiệu,Tide,pH,DO,TSS,NH4,PO4,As,Pb,Dau_mo,Coliform
NB17,T6/24,CT,7.47,6.27,19.2,0.15,0.046,0.0089,,0.57,1700.0
NB17,T6/24,ĐT,7.19,5.69,12.6,0.073,0.037,,,0.39,550.0
NB17,T8/24,CT,7.81,6.03,20.4,0.158,0.052,,,0.54,2100.0
NB17,T8/24,ĐT,7.78,6.03,16.2,0.076,0.047,,,0.41,610.0
NB17,T10/24,CT,7.9,6.31,18.8,0.149,0.074,,,0.48,2300.0
NB17,T10/24,ĐT,7.8,6.29,14.1,0.095,0.071,,,0.35,910.0
NB17,T11/24,CT,7.05,7.01,19.6,0.16,0.051,,,0.42,2400.0
NB17,T11/24,ĐT,7.1,6.96,13.1,0.097,0.049,,,0.38,780.0
NB19,T02/24,CT,7.71,6.89,26.8,0.12,0.054,,,0.41,1300.0
NB19,T02/24,ĐT,7.89,7.15,16.3,0.059,0.034,,,0.38,600.0
NB19,T4/24,CT,7.87,7.23,34.9,0.1,0.07,,,0.37,1500.0
NB19,T4/24,ĐT,7.9,6.44,25.7,0.052,0.033,,,0.48,790.0
NB19,T6/24,CT,7.54,6.52,28.4,0.13,0.057,0.0076,,0.43,2200.0
NB19,T6/24,ĐT,7.51,6.08,17.4,0.062,0.04,,,0.41,780.0
NB19,T8/24,CT,7.77,6.08,27.5,0.137,0.061,,,0.45,2500.0
NB19,T8/24,ĐT,8.02,6.14,16.2,0.068,0.052,,,0.43,810.0
NB19,T10/24,CT,7.63,6.22,29.0,0.105,0.057,0.0069,,0.53,2300.0
NB19,T10/24,ĐT,7.68,6.29,17.3,0.082,0.055,,,0.44,680.0
NB19,T11/24,CT,7.08,6.94,31.1,0.08,0.053,,,0.58,2100.0
NB19,T11/24,ĐT,7.96,7.03,20.4,0.07,0.049,,,0.48,550.0
NB25,T02/24,CT,8.01,7.31,19.7,0.088,0.042,,,0.35,400.0
NB25,T02/24,ĐT,8.07,7.45,13.1,0.058,0.037,,,0.33,270.0
NB25,T4/24,CT,7.92,7.47,20.6,0.056,0.052,,,0.34,240.0
NB25,T4/24,ĐT,8.07,6.63,14.5,0.045,0.041,,,0.4,130.0
NB25,T6/24,CT,7.54,6.32,21.8,0.097,0.058,,,0.38,580.0
NB25,T6/24,ĐT,8.06,6.11,15.6,0.055,0.041,,,0.36,310.0
NB25,T8/24,CT,7.87,6.1,23.9,0.093,0.066,,,0.39,610.0
NB25,T8/24,ĐT,8.03,6.19,17.2,0.053,0.047,,,0.38,430.0
NB25,T10/24,CT,8.03,6.41,22.4,0.106,0.072,,,0.45,550.0
NB25,T10/24,ĐT,8.09,6.5,15.7,0.078,0.067,,,0.38,320.0
NB25,T11/24,CT,7.99,6.51,24.1,0.093,0.046,,,0.47,330.0
NB25,T11/24,ĐT,8.07,6.61,16.4,0.063,0.041,,,0.4,120.0
NB26,T02/24,CT,7.93,7.05,17.5,0.15,0.053,,,0.36,550.0
