NB,Tide,Kí_hiệu,Amoni (NH4+),Asen (As),Coliform,DO,Dầu mỡ khoáng,Florua (F-),Photphat (PO43-),Tổng chất  rắn lơ lửng (TSS),pH,Đồng (Cu)
NB3,ĐT,T8/23,0.10,0.002,40,6.0,0.31,0.97,0.03,9.1,8.3,
NB4,CT,T02/23,0.16,,800,6.1,0.4,1.2,0.07,30.6,7.8,
NB4,CT,T10/23,0.09,,680,6.2,0.41,1.07,0.02,22.6,8.2,0.02
NB4,CT,"T11,12/23",0.31,,680,6.2,0.41,1.04,0.02,22.1,8.1,0.04
NB4,CT,T4/23,0.04,0.004,700,6.3,0.4,1,0.03,28.1,8.2,
NB4,CT,T6/23,0.06,0.002,630,6.3,0.4,1.4,0.04,23.5,8.4,
NB4,CT,T8/23,0.06,0.002,630,6.1,0.42,0.9,0.04,18.3,8.3,
NB4,ĐT,T02/23,0.06,,49,6.2,0.4,1.1,0.02,12.1,7.9,
NB4,ĐT,T10/23,0.08,,200,6.1,0.4,0.98,0.02,13.8,8.2,0.01
NB4,ĐT,"T11,12/23",0.27,,450,6.1,0.39,0.52,0.02,14.2,8.1,
NB4,ĐT,T4/23,0.00,0.004,260,6.4,0.4,1.3,0.00,10.9,8.3,
NB4,ĐT,T6/23,0.03,0.003,330,5.9,0.3,1.1,0.03,13.1,8.4,
NB4,ĐT,T8/23,0.03,0.003,33,6.2,0.34,0.88,0.04,9.4,8.4,
NB5,CT,T02/23,0.26,,540,6.1,0.3,1.0,0.08,27.1,7.4,
NB5,CT,T10/23,0.10,,450,6.3,0.42,1.11,0.03,24.3,8.2,0.01
NB5,CT,"T11,12/23",0.39,,610,5.8,0.41,1.03,0.03,25.2,7.8,0.03
NB5,CT,T4/23,0.22,0.003,500,6.3,0.4,0.9,0.03,20.5,8.0,
NB5,CT,T6/23,0.11,0.003,790,6.4,0.4,1.4,0.04,24,8.3,
NB5,CT,T8/23,0.15,0.003,490,6.3,0.4,0.91,0.04,19.4,8.3,
NB5,ĐT,T02/23,0.17,,31,6.2,0.4,0.9,0.04,13.2,7.6,
NB5,ĐT,T10/23,0.09,,210,6.1,0.41,0.91,0.02,15.1,8.1,
NB5,ĐT,"T11,12/23",0.21,,140,6.2,0.4,0.59,0.02,14.8,8.1,0.01
NB5,ĐT,T4/23,0.14,0.003,210,6.4,0.3,0.8,0.02,13.8,8.2,
NB5,ĐT,T6/23,0.06,0.003,260,5.9,0.4,1.1,0.03,14.9,8.3,
NB5,ĐT,T8/23,0.09,0.003,79,6.0,0.35,0.91,0.02,11.5,8.3,
NB6,CT,T02/23,0.52,0.004,700,6.0,0.4,1.3,0.09,30.2,7.6,
NB6,CT,T10/23,0.08,,240,6.0,0.37,1.27,0.02,25.1,8.1,0.016
NB6,CT,"T11,12/23",0.09,,400,6.1,0.38,1.15,0.02,25.8,8.1,0.0096
NB6,CT,T4/23,0.17,0.004,200,6.3,0.4,1,0.04,27,8.1,
NB6,CT,T6/23,0.12,0.004,230,6.1,0.4,1.3,0.04,24.8,8.2,
NB6,CT,T8/23,0.14,0.002,340,6.1,0.37,0.9,0.04,26.2,8.1,
NB6,ĐT,T02/23,0.37,0.004,79,6.1,0.3,0.9,0.07,16.9,7.7,
NB6,ĐT,T10/23,0.08,,45,6.1,0.36,0.99,0.00,16.2,8.2,
NB6,ĐT,"T11,12/23",0.07,,180,6.1,0.37,0.58,0.00,17.6,8.2,
NB6,ĐT,T4/23,0.08,0.003,90,6.4,0.4,0.9,0.03,15.7,8.2,
NB6,ĐT,T6/23,0.08,0.003,40,5.9,0.3,1.3,0.03,15,8.2,
NB6,ĐT,T8/23,0.08,0.003,23,6.1,0.34,0.78,0.03,14.8,8.2,
